country,readers
usa,44149
canada,6239
germany,3531
united kingdom,2971
,2443
australia,1801
spain,1669
france,802
italy,774
new zealand,459
switzerland,455
netherlands,406
portugal,331
austria,252
malaysia,170
singapore,129
sweden,121
ireland,110
belgium,104
brazil,103
finland,91
philippines,83
argentina,77
japan,75
mexico,69
denmark,63
norway,56
israel,48
india,39
romania,39
south africa,39
china,36
south korea,32
greece,29
poland,28
luxembourg,27
hong kong,27
turkey,24
chile,18
iceland,18
slovenia,17
czechia,14
indonesia,12
egypt,12
croatia,11
hungary,10
taiwan,10
slovakia,10
venezuela,8
lithuania,7
thailand,7
peru,6
pakistan,6
united arab emirates,6
malta,5
colombia,3
cyprus,3
russia,3
estonia,2
latvia,1
ukraine,1
