author_key,readers,average_rating,score,rated_works,supported_countries,author
j. k. rowling,1013,8.826914986132657,8.711899899440837,61,14,J. K. Rowling
harper lee,280,8.985714285714286,8.607051860855975,7,7,Harper Lee
j. r. r. tolkien,731,8.712107394049939,8.571877511643534,123,16,J. R. R. Tolkien
antoine de saint-exupéry,205,8.957317073170731,8.494851498771379,33,9,Antoine de Saint-Exupéry
bill watterson,143,9.068023817674167,8.442004580463689,36,5,Bill Watterson
dr. seuss,131,9.08880407124682,8.421268573413869,31,3,Dr. Seuss
l. m. montgomery,191,8.757894810250832,8.34171002021711,66,7,L. M. Montgomery
anne frank,169,8.718934911242604,8.283195937268664,18,7,Anne Frank
sue monk kidd,404,8.464108910891088,8.282102593502518,3,4,Sue Monk Kidd
e. b. white,141,8.782505910165485,8.269763653355202,10,3,E. B. White
