readers,average_rating,score,supported_countries,interaction_readers,isbn,title,author,author_key,year,publisher,cover_url
135,9.333333333333334,8.871757196006,4,254,0345339711,"The Two Towers (The Lord of the Rings, Part 2)",J. R. R. Tolkien,j. r. r. tolkien,1986,Del Rey,http://images.amazon.com/images/P/0345339711.01.LZZZZZZZ.jpg
242,9.113636363636363,8.858818771442158,5,378,0439139597,Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,j. k. rowling,2000,Scholastic,http://images.amazon.com/images/P/0439139597.01.LZZZZZZZ.jpg
117,9.341880341880342,8.82799449856952,3,233,0345339738,"The Return of the King (The Lord of the Rings, Part 3)",J. R. R. Tolkien,j. r. r. tolkien,1986,Del Rey,http://images.amazon.com/images/P/0345339738.01.LZZZZZZZ.jpg
274,9.045620437956204,8.82646630018861,7,422,0439136369,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,j. k. rowling,2001,Scholastic,http://images.amazon.com/images/P/0439136369.01.LZZZZZZZ.jpg
211,9.04739336492891,8.775000311345249,6,347,043935806X,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,j. k. rowling,2003,Scholastic,http://images.amazon.com/images/P/043935806X.01.LZZZZZZZ.jpg
266,8.977443609022556,8.76352873816807,6,492,0446310786,To Kill a Mockingbird,Harper Lee,harper lee,1988,Little Brown &amp; Company,http://images.amazon.com/images/P/0446310786.01.LZZZZZZZ.jpg
315,8.936507936507937,8.756918030852356,5,575,059035342X,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,j. k. rowling,1999,Arthur A. Levine Books,http://images.amazon.com/images/P/059035342X.01.LZZZZZZZ.jpg
173,9.054913294797688,8.73441740475834,4,275,0590353403,Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling,j. k. rowling,1998,Scholastic,http://images.amazon.com/images/P/0590353403.01.LZZZZZZZ.jpg
321,8.83281412253375,8.670103543381249,7,545,0439064872,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,j. k. rowling,2000,Scholastic,http://images.amazon.com/images/P/0439064872.01.LZZZZZZZ.jpg
203,8.891625615763546,8.641403483245494,5,356,0345339703,"The Fellowship of the Ring (The Lord of the Rings, Part 1)",J. R. R. Tolkien,j. r. r. tolkien,1986,Del Rey,http://images.amazon.com/images/P/0345339703.01.LZZZZZZZ.jpg
150,8.92,8.59637540630555,3,246,0812550706,Ender's Game (Ender Wiggins Saga (Paperback)),Orson Scott Card,orson scott card,1994,Tor Books,http://images.amazon.com/images/P/0812550706.01.LZZZZZZZ.jpg
90,9.11111111111111,8.580536294722213,5,140,0156528207,The Little Prince,Antoine de Saint-Exupéry,antoine de saint-exupéry,1968,Harcourt,http://images.amazon.com/images/P/0156528207.01.LZZZZZZZ.jpg
143,8.783216783216783,8.483290576482434,6,279,0451524934,1984,George Orwell,george orwell,1990,Signet Book,http://images.amazon.com/images/P/0451524934.01.LZZZZZZZ.jpg
75,8.973333333333333,8.434200650088878,4,146,0441172717,Dune (Remembering Tomorrow),Frank Herbert,frank herbert,1996,ACE Charter,http://images.amazon.com/images/P/0441172717.01.LZZZZZZZ.jpg
249,8.582329317269076,8.422324686492006,5,487,0385484518,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",MITCH ALBOM,mitch albom,1997,Doubleday,http://images.amazon.com/images/P/0385484518.01.LZZZZZZZ.jpg
59,9.073446327683616,8.409251510040763,4,121,0860074382,84 Charing Cross Road,Helene Hanff,helene hanff,,Warner Books> C/o Little Br,http://images.amazon.com/images/P/0860074382.01.LZZZZZZZ.jpg
182,8.615384615384615,8.402047764056508,4,413,0345361792,A Prayer for Owen Meany,John Irving,john irving,1990,Ballantine Books,http://images.amazon.com/images/P/0345361792.01.LZZZZZZZ.jpg
402,8.471393034825871,8.377820976241393,4,762,0142001740,The Secret Life of Bees,Sue Monk Kidd,sue monk kidd,2003,Penguin Books,http://images.amazon.com/images/P/0142001740.01.LZZZZZZZ.jpg
494,8.43927125506073,8.364476252318218,8,897,0385504209,The Da Vinci Code,Dan Brown,dan brown,2003,Doubleday,http://images.amazon.com/images/P/0385504209.01.LZZZZZZZ.jpg
198,8.530303030303031,8.347883392181895,4,395,0345342968,Fahrenheit 451,RAY BRADBURY,ray bradbury,1987,Del Rey,http://images.amazon.com/images/P/0345342968.01.LZZZZZZZ.jpg
107,8.672897196261681,8.33933172777777,4,223,0345413369,"The Subtle Knife (His Dark Materials, Book 2)",PHILIP PULLMAN,philip pullman,1998,Del Rey,http://images.amazon.com/images/P/0345413369.01.LZZZZZZZ.jpg
66,8.878787878787879,8.338578286733705,3,156,055321313X,Anne of Green Gables (Anne of Green Gables Novels (Paperback)),L. M. Montgomery,l. m. montgomery,1982,Bantam Classics,http://images.amazon.com/images/P/055321313X.01.LZZZZZZZ.jpg
144,8.583333333333334,8.336469491036649,5,307,0671617028,The Color Purple,Alice Walker,alice walker,1985,Pocket Books,http://images.amazon.com/images/P/0671617028.01.LZZZZZZZ.jpg
122,8.573770491803279,8.298110937564593,5,287,0380002930,Watership Down,Richard Adams,richard adams,1976,Avon,http://images.amazon.com/images/P/0380002930.01.LZZZZZZZ.jpg
79,8.721518987341772,8.296706056287674,3,142,0553296981,Anne Frank: The Diary of a Young Girl,ANNE FRANK,anne frank,1993,Bantam,http://images.amazon.com/images/P/0553296981.01.LZZZZZZZ.jpg
134,8.522388059701493,8.278668919897337,4,265,0345391802,The Hitchhiker's Guide to the Galaxy,Douglas Adams,douglas adams,1995,Ballantine Books,http://images.amazon.com/images/P/0345391802.01.LZZZZZZZ.jpg
123,8.536585365853659,8.273266365671155,3,306,0070212570,Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,fannie flagg,1989,McGraw-Hill,http://images.amazon.com/images/P/0070212570.01.LZZZZZZZ.jpg
89,8.629213483146067,8.2681660522382,3,194,0345350499,The Mists of Avalon,MARION ZIMMER BRADLEY,marion zimmer bradley,1987,Del Rey,http://images.amazon.com/images/P/0345350499.01.LZZZZZZZ.jpg
67,8.746268656716419,8.267308386847093,4,140,0345413377,"The Amber Spyglass (His Dark Materials, Book 3)",PHILIP PULLMAN,philip pullman,2001,Del Rey,http://images.amazon.com/images/P/0345413377.01.LZZZZZZZ.jpg
61,8.78688524590164,8.26373947082081,3,131,0380813815,"Lamb : The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,christopher moore,2003,Perennial,http://images.amazon.com/images/P/0380813815.01.LZZZZZZZ.jpg
114,8.526315789473685,8.251677324762865,3,261,0671041789,The Green Mile,Stephen King,stephen king,1999,Pocket,http://images.amazon.com/images/P/0671041789.01.LZZZZZZZ.jpg
134,8.473880597014926,8.243342832940813,3,271,0440212561,Outlander,DIANA GABALDON,diana gabaldon,1992,Dell,http://images.amazon.com/images/P/0440212561.01.LZZZZZZZ.jpg
53,8.79245283018868,8.225971662729222,6,124,014034294X,Matilda,Roald Dahl,roald dahl,1990,Puffin Books,http://images.amazon.com/images/P/014034294X.01.LZZZZZZZ.jpg
154,8.415584415584416,8.221936672848578,3,321,0060938455,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,eric schlosser,2002,Perennial,http://images.amazon.com/images/P/0060938455.01.LZZZZZZZ.jpg
159,8.39937106918239,8.214234838569903,3,318,0345413350,"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,philip pullman,1997,Del Rey,http://images.amazon.com/images/P/0345413350.01.LZZZZZZZ.jpg
92,8.532608695652174,8.213204797613448,6,169,0553208845,Siddhartha,Hermann Hesse,hermann hesse,1981,Bantam Classics,http://images.amazon.com/images/P/0553208845.01.LZZZZZZZ.jpg
123,8.451219512195122,8.212572724052658,3,303,0449212602,The Handmaid's Tale,Margaret Atwood,margaret atwood,1989,Fawcett Books,http://images.amazon.com/images/P/0449212602.01.LZZZZZZZ.jpg
85,8.541176470588235,8.202037638971184,4,179,0553213105,Pride and Prejudice,Jane Austen,jane austen,1981,Bantam,http://images.amazon.com/images/P/0553213105.01.LZZZZZZZ.jpg
94,8.457446808510639,8.168576953202152,3,162,0553375407,Ishmael: An Adventure of the Mind and Spirit,Daniel Quinn,daniel quinn,1995,Bantam,http://images.amazon.com/images/P/0553375407.01.LZZZZZZZ.jpg
95,8.452631578947368,8.167414353524896,5,202,1400031354,Tears of the Giraffe (No.1 Ladies Detective Agency),Alexander McCall Smith,alexander mccall smith,2002,Anchor,http://images.amazon.com/images/P/1400031354.01.LZZZZZZZ.jpg
136,8.360294117647058,8.162769254091987,3,277,0684874350,ANGELA'S ASHES,Frank McCourt,frank mccourt,1996,Scribner,http://images.amazon.com/images/P/0684874350.01.LZZZZZZZ.jpg
