readers,average_rating,score,supported_countries,interaction_readers,isbn,title,author,author_key,year,publisher,cover_url
135,9.333333333333334,8.871757196006,4,254,0345339711,"The Two Towers (The Lord of the Rings, Part 2)",J. R. R. Tolkien,j. r. r. tolkien,1986,Del Rey,http://images.amazon.com/images/P/0345339711.01.LZZZZZZZ.jpg
242,9.113636363636363,8.858818771442158,5,378,0439139597,Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,j. k. rowling,2000,Scholastic,http://images.amazon.com/images/P/0439139597.01.LZZZZZZZ.jpg
117,9.341880341880342,8.82799449856952,3,233,0345339738,"The Return of the King (The Lord of the Rings, Part 3)",J. R. R. Tolkien,j. r. r. tolkien,1986,Del Rey,http://images.amazon.com/images/P/0345339738.01.LZZZZZZZ.jpg
274,9.045620437956204,8.82646630018861,7,422,0439136369,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,j. k. rowling,2001,Scholastic,http://images.amazon.com/images/P/0439136369.01.LZZZZZZZ.jpg
266,8.977443609022556,8.76352873816807,6,492,0446310786,To Kill a Mockingbird,Harper Lee,harper lee,1988,Little Brown &amp; Company,http://images.amazon.com/images/P/0446310786.01.LZZZZZZZ.jpg
150,8.92,8.59637540630555,3,246,0812550706,Ender's Game (Ender Wiggins Saga (Paperback)),Orson Scott Card,orson scott card,1994,Tor Books,http://images.amazon.com/images/P/0812550706.01.LZZZZZZZ.jpg
90,9.11111111111111,8.580536294722213,5,140,0156528207,The Little Prince,Antoine de Saint-Exupéry,antoine de saint-exupéry,1968,Harcourt,http://images.amazon.com/images/P/0156528207.01.LZZZZZZZ.jpg
143,8.783216783216783,8.483290576482434,6,279,0451524934,1984,George Orwell,george orwell,1990,Signet Book,http://images.amazon.com/images/P/0451524934.01.LZZZZZZZ.jpg
75,8.973333333333333,8.434200650088878,4,146,0441172717,Dune (Remembering Tomorrow),Frank Herbert,frank herbert,1996,ACE Charter,http://images.amazon.com/images/P/0441172717.01.LZZZZZZZ.jpg
249,8.582329317269076,8.422324686492006,5,487,0385484518,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",MITCH ALBOM,mitch albom,1997,Doubleday,http://images.amazon.com/images/P/0385484518.01.LZZZZZZZ.jpg
59,9.073446327683616,8.409251510040763,4,121,0860074382,84 Charing Cross Road,Helene Hanff,helene hanff,,Warner Books> C/o Little Br,http://images.amazon.com/images/P/0860074382.01.LZZZZZZZ.jpg
182,8.615384615384615,8.402047764056508,4,413,0345361792,A Prayer for Owen Meany,John Irving,john irving,1990,Ballantine Books,http://images.amazon.com/images/P/0345361792.01.LZZZZZZZ.jpg
402,8.471393034825871,8.377820976241393,4,762,0142001740,The Secret Life of Bees,Sue Monk Kidd,sue monk kidd,2003,Penguin Books,http://images.amazon.com/images/P/0142001740.01.LZZZZZZZ.jpg
494,8.43927125506073,8.364476252318218,8,897,0385504209,The Da Vinci Code,Dan Brown,dan brown,2003,Doubleday,http://images.amazon.com/images/P/0385504209.01.LZZZZZZZ.jpg
198,8.530303030303031,8.347883392181895,4,395,0345342968,Fahrenheit 451,RAY BRADBURY,ray bradbury,1987,Del Rey,http://images.amazon.com/images/P/0345342968.01.LZZZZZZZ.jpg
107,8.672897196261681,8.33933172777777,4,223,0345413369,"The Subtle Knife (His Dark Materials, Book 2)",PHILIP PULLMAN,philip pullman,1998,Del Rey,http://images.amazon.com/images/P/0345413369.01.LZZZZZZZ.jpg
66,8.878787878787879,8.338578286733705,3,156,055321313X,Anne of Green Gables (Anne of Green Gables Novels (Paperback)),L. M. Montgomery,l. m. montgomery,1982,Bantam Classics,http://images.amazon.com/images/P/055321313X.01.LZZZZZZZ.jpg
144,8.583333333333334,8.336469491036649,5,307,0671617028,The Color Purple,Alice Walker,alice walker,1985,Pocket Books,http://images.amazon.com/images/P/0671617028.01.LZZZZZZZ.jpg
122,8.573770491803279,8.298110937564593,5,287,0380002930,Watership Down,Richard Adams,richard adams,1976,Avon,http://images.amazon.com/images/P/0380002930.01.LZZZZZZZ.jpg
79,8.721518987341772,8.296706056287674,3,142,0553296981,Anne Frank: The Diary of a Young Girl,ANNE FRANK,anne frank,1993,Bantam,http://images.amazon.com/images/P/0553296981.01.LZZZZZZZ.jpg
