ISBN,Book-Title,Book-Author,rating_count,average_rating,description,categories,language,page_count,cover_url,source_url,api_status
0345339738,"The Return of the King (The Lord of the Rings, Part 3)",J. R. R. Tolkien,77,9.4,"The awesome conclusion to The Lord of the Rings—the greatest fantasy epic of all time—which began in The Fellowship of the Ring and The Two Towers. Nominated as one of America’s best-loved novels by PBS’s The Great American Read While the evil might of the Dark Lord Sauron swarms out to conquer all Middle-earth, Frodo and Sam struggle deep into Mordor, seat of Sauron’s power. To defeat the Dark Lord, the One Ring, ruler of the accursed Rings of Power, must be destroyed in the fires of Mount Doom. But the way is impossibly hard, and Frodo is weakening. Weighed down by the compulsion of the Ring, he begins finally to despair.",Fiction,en,,http://books.google.com/books/content?id=Vw8Z0QEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.ro/books?id=Vw8Z0QEACAAJ&dq=isbn:0345339738&hl=&source=gbs_api,matched
0439139597,Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,137,9.26,"Young wizard-in-training Harry Potter prepares for a competition between Hogwarts School of Magic and two rival schools, develops a crush on Cho Chang, and wishes above all to be a normal fourteen-year-old.",,en,,http://books.google.com/books/content?id=5zaozwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.ro/books?id=5zaozwEACAAJ&dq=isbn:0439139597&hl=&source=gbs_api,matched
0345339711,"The Two Towers (The Lord of the Rings, Part 2)",J. R. R. Tolkien,83,9.12,"The middle novel in The Lord of the Rings—the greatest fantasy epic of all time—which began in The Fellowship of the Ring, and which reaches its magnificent climax in The Return of the King. Nominated as one of America’s best-loved novels by PBS’s The Great American Read The Fellowship is scattered. Some brace hopelessly for war against the ancient evil of Sauron. Others must contend with the treachery of the wizard Saruman. Only Frodo and Sam are left to take the One Ring, ruler of the accursed Rings of Power, to be destroyed in Mordor, the dark realm where Sauron is supreme. Their guide is Gollum, deceitful and obsessive slave to the corruption of the Ring.",Fiction,en,,,http://books.google.ro/books?id=JuaXzwEACAAJ&dq=isbn:0345339711&hl=&source=gbs_api,matched
0064400557,Charlotte's Web (Trophy Newbery),E. B. White,68,9.07,"Sixty years ago, on October 15, 1952, E.B. White's Charlotte's Web was published. It's gone on to become one of the most beloved children's books of all time. To celebrate this milestone, the renowned Newbery Medalist Kate DiCamillo has written a heartfelt and poignant tribute to the book that is itself a beautiful translation of White's own view of the world—of the joy he took in the change of seasons, in farm life, in the miracles of life and death, and, in short, the glory of everything. We are proud to include Kate DiCamillo's foreword in the 60th anniversary editions of this cherished classic. Charlotte's Web is the story of a little girl named Fern who loved a little pig named Wilbur—and of Wilbur's dear friend Charlotte A. Cavatica, a beautiful large grey spider who lived with Wilbur in the barn. With the help of Templeton, the rat who never did anything for anybody unless there was something in it for him, and by a wonderfully clever plan of her own, Charlotte saved the life of Wilbur, who by this time had grown up to quite a pig. How all this comes about is Mr. White's story. It is a story of the magic of childhood on the farm. The thousands of children who loved Stuart Little, the heroic little city mouse, will be entranced with Charlotte the spider, Wilbur the pig, and Fern, the little girl who understood their language. The forty-seven black-and-white drawings by Garth Williams have all the wonderful detail and warmhearted appeal that children love in his work. Incomparably matched to E.B. White's marvelous story, they speak to each new generation, softly and irresistibly.",Juvenile Fiction,en,192.0,,http://books.google.ro/books?id=H_v1zAEACAAJ&dq=isbn:0064400557&hl=&source=gbs_api,matched
0439136350,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,141,9.04,"During his third year at Hogwarts School for witchcraft and wizardry, Harry Potter must confront the devious and dangerous wizard responsable for his parents death.",Bildungsromans,en,435.0,,http://books.google.ro/books?id=tY8RzgEACAAJ&dq=isbn:0439136350&hl=&source=gbs_api,matched
043935806X,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,206,9.03,"Collects the complete series that relates the adventures of young Harry Potter, who attends Hogwarts School of Witchcraft and Wizardry, where he and others of his kind learn their craft.",Bildungsromans,en,1232.0,http://books.google.com/books/content?id=qH7vyQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.ro/books?id=qH7vyQEACAAJ&dq=isbn:043935806X&hl=&source=gbs_api,matched
0590353403,Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling,119,8.98,"Rescued from the outrageous neglect of his aunt and uncle, a young boy with a great destiny proves his worth while attending Hogwarts School of Witchcraft and Wizardry.",Children's stories,en,309.0,http://books.google.com/books/content?id=kTH6zAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.ro/books?id=kTH6zAEACAAJ&dq=isbn:0590353403&hl=&source=gbs_api,matched
0156528207,The Little Prince,Antoine de Saint-Exupéry,51,8.98,"An aviator, whose plane is forced down in the Sahara Desert, encounters a little man from a small planet who describes his adventures in the universe, seeking the secret of what is really important in life.",Juvenile Fiction,en,132.0,http://books.google.com/books/content?id=RSgLXlh56JsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.ro/books?id=RSgLXlh56JsC&dq=isbn:0156528207&hl=&source=gbs_api,matched
0441172717,Dune (Remembering Tomorrow),Frank Herbert,75,8.97,"NOW A MAJOR MOTION PICTURE directed by Denis Villeneuve, starring Timothée Chalamet, Zendaya, Jason Momoa, Rebecca Ferguson, Oscar Isaac, Josh Brolin, Stellan Skarsgård, Dave Bautista, David Dastmalchian, Stephen McKinley Henderson, Chang Chen, Sharon Duncan-Brewster, Charlotte Rampling, and Javier Bardem. Frank Herbert’s classic masterpiece—a triumph of the imagination and one of the bestselling science fiction novels of all time. Set on the desert planet Arrakis, Dune is the story of the boy Paul Atreides, heir to a noble family tasked with ruling an inhospitable world where the only thing of value is the “spice” melange, a drug capable of extending life and enhancing consciousness. Coveted across the known universe, melange is a prize worth killing for.... When House Atreides is betrayed, the destruction of Paul’s family will set the boy on a journey toward a destiny greater than he could ever have imagined. And as he evolves into the mysterious man known as Muad’Dib, he will bring to fruition humankind’s most ancient and unattainable dream. A stunning blend of adventure and mysticism, environmentalism and politics, Dune won the first Nebula Award, shared the Hugo Award, and formed the basis of what is undoubtedly the grandest epic in science fiction.",Fiction,en,,http://books.google.com/books/content?id=PaWNEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.ro/books?id=PaWNEAAAQBAJ&dq=isbn:0441172717&hl=&source=gbs_api,matched
0446310786,To Kill a Mockingbird,Harper Lee,214,8.94,"The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it, To Kill A Mockingbird became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic. Compassionate, dramatic, and deeply moving, To Kill A Mockingbird takes readers to the roots of human behavior - to innocence and experience, kindness and cruelty, love and hatred, humor and pathos. Now with over 18 million copies in print and translated into forty languages, this regional story by a young Alabama woman claims universal appeal. Harper Lee always considered her book to be a simple love story. Today it is regarded as a masterpiece of American literature.",Fiction,en,292.0,http://books.google.com/books/content?id=_eBnuQOIh-0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.ro/books?id=_eBnuQOIh-0C&dq=isbn:0446310786&hl=&source=gbs_api,matched
059035342X,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,313,8.94,"A winner of England's National Book Award, the acclaimed debut novel tells the outrageously funny, fantastic adventure story of Harry Potter, who escapes a hideous foster home thanks to a scholarship to The Hogwarts School for Witchcraft and Wizardry. Reprint. PW. AB. SLJ.",Juvenile Fiction,en,324.0,http://books.google.com/books/content?id=fo4rzdaHDAwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.ro/books?id=fo4rzdaHDAwC&dq=isbn:059035342X&hl=&source=gbs_api,matched
055321313X,Anne of Green Gables (Anne of Green Gables Novels (Paperback)),L. M. Montgomery,53,8.91,"Read the timeless classic about the beloved Anne Shirley, a red-haired orphan with a fiery spirit, behind the hit Netflix series Anne with an E—now celebrating a hundred years of this children’s favorite. ""[Anne is] the dearest and most lovable child in fiction since the immortal Alice."" —Mark Twain Eleven-year-old Anne Shirley has never known a real home. Since her parents' deaths, she's bounced around to foster homes and orphanages. When she is sent by mistake to live with Matthew and Marilla Cuthbert at the snug white farmhouse called Green Gables, she wants to stay forever. But Anne is not the sturdy boy Matthew and Marilla were expecting. She's a talkative redheaded girl with a fierce temper, who tumbles into one scrape after another. Anne is not like anybody else; she is a girl with an enormous imagination and boundless passion. All she's ever wanted is to belong somewhere. And the longer she stays at Green Gables, the harder it is for anyone to imagine life without her. This special Collector’s Edition includes the original, unabridged text, a specially commissioned biography of L.M. Montgomery, and a map of Prince Edward Island.",Juvenile Fiction,en,324.0,http://books.google.com/books/content?id=rtP9tVskFWoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.ro/books?id=rtP9tVskFWoC&dq=isbn:055321313X&hl=&source=gbs_api,matched
0440498058,A Wrinkle In Time,MADELEINE L'ENGLE,81,8.88,"This special edition ofA Wrinkle in Timeincludes a new essay that explores the science behind the fantasy. Rediscover one of the most beloved children's books of all time:A Wrinkle in Timeby Madeleine L'Engle: Meg Murray, her little brother Charles Wallace, and their mother are having a midnight snack on a dark and stormy night when an unearthly stranger appears at their door. He claims to have been blown off course, and goes on to tell them that there is such a thing as a ""tesseract,"" which, if you didn't know, is a wrinkle in time. Meg's father had been experimenting with time-travel when he suddenly disappeared. Will Meg, Charles Wallace, and their friend Calvin outwit the forces of evil as they search through space for their father?",Juvenile Fiction,en,228.0,http://books.google.com/books/content?id=HHCmcI6kyb8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.ro/books?id=HHCmcI6kyb8C&dq=isbn:0440498058&hl=&source=gbs_api,matched
0345339703,"The Fellowship of the Ring (The Lord of the Rings, Part 1)",J. R. R. Tolkien,131,8.84,"The opening novel of The Lord of the Rings—the greatest fantasy epic of all time—which continues in The Two Towers and The Return of the King. Nominated as one of America’s best-loved novels by PBS’s The Great American Read The dark, fearsome Ringwraiths are searching for a Hobbit. Frodo Baggins knows that they are seeking him and the Ring he bears—the Ring of Power that will enable evil Sauron to destroy all that is good in Middle-earth. Now it is up to Frodo and his faithful servant, Sam, with a small band of companions, to carry the Ring to the one place it can be destroyed: Mount Doom, in the very center of Sauron’s realm.",Fiction,en,522.0,http://books.google.com/books/content?id=Xzc76KsFrokC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.ro/books?id=Xzc76KsFrokC&dq=isbn:0345339703&hl=&source=gbs_api,matched
0345348036,The Princess Bride: S Morgenstern's Classic Tale of True Love and High Adventure,WILLIAM GOLDMAN,74,8.84,"Now a cult classic, this story of pirates, evil princes, sorcerers, and, most importantly, true love is handsomely repackaged in a commemorative 25th anniversary hardcover. Copyright © Libri GmbH. All rights reserved.",Fiction,en,426.0,http://books.google.com/books/content?id=rt3ZAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.ro/books?id=rt3ZAAAAMAAJ&dq=isbn:0345348036&hl=&source=gbs_api,matched
0812550706,Ender's Game (Ender Wiggins Saga (Paperback)),Orson Scott Card,117,8.84,"From New York Times bestselling author Orson Scott Card, Ender's Game—adapted to film in 2013 starring Asa Butterfield and Harrison Ford—is the classic Hugo and Nebula award-winning science fiction novel of a young boy's recruitment into the midst of an interstellar war. In order to develop a secure defense against a hostile alien race's next attack, government agencies breed child geniuses and train them as soldiers. A brilliant young boy, Andrew ""Ender"" Wiggin lives with his kind but distant parents, his sadistic brother Peter, and the person he loves more than anyone else, his sister Valentine. Peter and Valentine were candidates for the soldier-training program but didn't make the cut—young Ender is the Wiggin drafted to the orbiting Battle School for rigorous military training. Ender's skills make him a leader in school and respected in the Battle Room, where children play at mock battles in zero gravity. Yet growing up in an artificial community of young soldiers Ender suffers greatly from isolation, rivalry from his peers, pressure from the adult teachers, and an unsettling fear of the alien invaders. His psychological battles include loneliness, fear that he is becoming like the cruel brother he remembers, and fanning the flames of devotion to his beloved sister. Is Ender the general Earth needs? But Ender is not the only result of the genetic experiments. The war with the Buggers has been raging for a hundred years, and the quest for the perfect general has been underway for almost as long. Ender's two older siblings are every bit as unusual as he is, but in very different ways. Between the three of them lie the abilities to remake a world. If, that is, the world survives. Orson Scott Card's Ender's Game is the winner of the 1985 Nebula Award for Best Novel and the 1986 Hugo Award for Best Novel. THE ENDER UNIVERSE Ender series Ender’s Game / Ender in Exile / Speaker for the Dead / Xenocide / Children of the Mind Ender’s Shadow series Ender’s Shadow / Shadow of the Hegemon / Shadow Puppets / Shadow of the Giant / Shadows in Flight Children of the Fleet The First Formic War (with Aaron Johnston) Earth Unaware / Earth Afire / Earth Awakens The Second Formic War (with Aaron Johnston) The Swarm /The Hive Ender novellas A War of Gifts /First Meetings",Fiction,en,358.0,http://books.google.com/books/content?id=5tCSc9pZPBwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.ro/books?id=5tCSc9pZPBwC&dq=isbn:0812550706&hl=&source=gbs_api,matched
0380813815,"Lamb : The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,61,8.79,"The birth of Jesus has been well chronicled, as have his glorious teachings, acts, and divine sacrifice after his thirtieth birthday. But no one knows about the early life of the Son of God, the missing years -- except Biff, the Messiah's best bud, who has been resurrected to tell the story in the divinely hilarious yet heartfelt work ""reminiscent of Vonnegut and Douglas Adams"" (Philadelphia Inquirer). Verily, the story Biff has to tell is a miraculous one, filled with remarkable journeys, magic, healings, kung fu, corpse reanimations, demons, and hot babes. Even the considerable wiles and devotion of the Savior's pal may not be enough to divert Joshua from his tragic destiny. But there's no one who loves Josh more -- except maybe ""Maggie,"" Mary of Magdala -- and Biff isn't about to let his extraordinary pal suffer and ascend without a fight.",Fiction,en,464.0,http://books.google.com/books/content?id=cM4dlwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.ro/books?id=cM4dlwEACAAJ&dq=isbn:0380813815&hl=&source=gbs_api,matched
0439064872,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,189,8.78,,,,,,,not_found
0451524934,1984,George Orwell,101,8.77,"Written more than 70 years ago, 1984 was George Orwell’s chilling prophecy about the future. And while 1984 has come and gone, his dystopian vision of a government that will do anything to control the narrative is timelier than ever... • Nominated as one of America’s best-loved novels by PBS’s The Great American Read • “The Party told you to reject the evidence of your eyes and ears. It was their final, most essential command.” Winston Smith toes the Party line, rewriting history to satisfy the demands of the Ministry of Truth. With each lie he writes, Winston grows to hate the Party that seeks power for its own sake and persecutes those who dare to commit thoughtcrimes. But as he starts to think for himself, Winston can’t escape the fact that Big Brother is always watching... A startling and haunting novel, 1984 creates an imaginary world that is completely convincing from start to finish. No one can deny the novel’s hold on the imaginations of whole generations, or the power of its admonitions—a power that seems to grow, not lessen, with the passage of time.",Fiction,en,,http://books.google.com/books/content?id=YqvezwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.ro/books?id=YqvezwEACAAJ&dq=isbn:0451524934&hl=&source=gbs_api,matched
0345339681,The Hobbit : The Enchanting Prelude to The Lord of the Rings,J. R. R. Tolkien,161,8.74,"While the evil might of the Dark Lord Sauron swarmed out to conquer all Middle-earth, Frodo and Sam struggled deep into Mordor, seat of Sauron's power. To defeat the Dark Lord, the accursed Ring of Power had to be destroyed in the fires of Mount Doom, but the way was impossibly hard and Frodo was weakening. Weighed down by the compulsion of the Ring, he began finally to despair.","Fantasy fiction, English",en,491.0,,http://books.google.ro/books?id=owE0yQEACAAJ&dq=isbn:0345339681&hl=&source=gbs_api,matched
