ISBN,Book-Title,Book-Author,rating_count,average_rating
0345339738,"The Return of the King (The Lord of the Rings, Part 3)",J. R. R. Tolkien,77,9.4
0439139597,Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,137,9.26
0345339711,"The Two Towers (The Lord of the Rings, Part 2)",J. R. R. Tolkien,83,9.12
0064400557,Charlotte's Web (Trophy Newbery),E. B. White,68,9.07
0439136350,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,141,9.04
043935806X,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,206,9.03
0590353403,Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling,119,8.98
0156528207,The Little Prince,Antoine de Saint-Exupéry,51,8.98
0441172717,Dune (Remembering Tomorrow),Frank Herbert,75,8.97
0446310786,To Kill a Mockingbird,Harper Lee,214,8.94
059035342X,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,313,8.94
055321313X,Anne of Green Gables (Anne of Green Gables Novels (Paperback)),L. M. Montgomery,53,8.91
0440498058,A Wrinkle In Time,MADELEINE L'ENGLE,81,8.88
0345339703,"The Fellowship of the Ring (The Lord of the Rings, Part 1)",J. R. R. Tolkien,131,8.84
0345348036,The Princess Bride: S Morgenstern's Classic Tale of True Love and High Adventure,WILLIAM GOLDMAN,74,8.84
0812550706,Ender's Game (Ender Wiggins Saga (Paperback)),Orson Scott Card,117,8.84
0380813815,"Lamb : The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,61,8.79
0439064872,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,189,8.78
0451524934,1984,George Orwell,101,8.77
0345339681,The Hobbit : The Enchanting Prelude to The Lord of the Rings,J. R. R. Tolkien,161,8.74
